district,state,population,male_population,female_population,literate_population,literacy_rate,gender_ratio,literacy_index,population_weight
raichur,karnataka,1928812,964511,964301,979769,50.79650064391967,999.7822730896796,0.5079650064391967,0.1743929647234377
koppal,karnataka,1389920,699926,689994,809085,58.210904224703576,985.8099284781534,0.5821090422470357,0.1256692044265592
gadag,karnataka,1064570,537147,527423,700177,65.77087462543562,981.8969481352405,0.6577087462543563,0.09625278070420035
dharwad,karnataka,1847023,937206,909817,1301664,70.47362160622797,970.7759019895306,0.7047362160622797,0.1669980365543029
uttara kannada,karnataka,1437169,726256,710913,1081906,75.28036020815924,978.8738406291995,0.7528036020815924,0.1299412087433188
haveri,karnataka,1597668,819128,778540,1085443,67.93920889696733,950.4497465597562,0.6793920889696733,0.14445267821009267
bellary,karnataka,2452595,1236954,1215641,1421621,57.96395246667305,982.7697715517311,0.5796395246667305,0.2217506492679845
chitradurga,karnataka,1659456,840843,818613,1087392,65.52701608237881,973.5622464598029,0.6552701608237881,0.15003922189829647
davanagere,karnataka,1945497,986400,959097,1308540,67.25993409396159,972.3205596107056,0.6725993409396159,0.17590153404818815
shimoga,karnataka,1752753,877415,875338,1263016,72.058983781514,997.6328191334774,0.72058983781514,0.1584746424731387
udupi,karnataka,1177361,562131,615230,926429,78.68691081155228,1094.4601881056194,0.7868691081155228,0.10645074550539468
chikmagalur,karnataka,1137961,566622,571339,818345,71.91327295047897,1008.324773835114,0.7191327295047897,0.10288840619492615
tumkur,karnataka,2678980,1350594,1328386,1813391,67.68960574547029,983.5568646092015,0.6768960574547029,0.2422191818771322
bangalore,karnataka,9621551,5022661,4598890,7512276,78.07759892349996,915.6281899176552,0.7807759892349996,0.8699296790603526
mandya,karnataka,1805769,905085,900684,1149649,63.66534146947921,995.1374732759907,0.6366534146947921,0.16326806838389504
hassan,karnataka,1776421,883667,892754,1225256,68.9732895524203,1010.2832854457617,0.689732895524203,0.16061457767111254
dakshina kannada,karnataka,2089649,1034714,1054935,1666323,79.74176524382803,1019.542598244539,0.7974176524382802,0.1889349943599308
kodagu,karnataka,554519,274608,279911,412877,74.4567814628534,1019.311163549496,0.7445678146285339,0.050136670865525486
mysore,karnataka,3001127,1511600,1489527,1962180,65.38143837298455,985.3975919555438,0.6538143837298455,0.2713460073047847
chamarajanagar,karnataka,1020791,512231,508560,565279,55.37656582003564,992.833311533273,0.5537656582003564,0.09229451540793125
gulbarga,karnataka,2566326,1301755,1264571,1427368,55.61912243417243,971.435485171941,0.5561912243417243,0.2320336038902915
yadgir,karnataka,1174271,590329,583942,510003,43.43145662287496,989.1806094567605,0.4343145662287496,0.1061713640721625
kolar,karnataka,1536401,776396,760005,1016219,66.14282339050807,978.8883507900607,0.6614282339050807,0.13891324058231408
chikkaballapura,karnataka,1255104,636437,618667,783222,62.4029562490439,972.0789331858456,0.6240295624904391,0.11347985578493162
bangalore rural,karnataka,990923,509172,481751,688749,69.50580418458347,946.1458996174181,0.6950580418458346,0.08959400904942683
ramanagara,karnataka,1082636,548008,534628,674758,62.32547227322941,975.5842980394447,0.6232547227322941,0.09788621273422381
north goa,goa,818008,416677,401331,663060,81.05788696443066,963.1705133712684,0.8105788696443067,0.07395995062633881
south goa,goa,640537,322463,318074,502427,78.43840402662141,986.3891361179423,0.7843840402662141,0.05791396281496414
lakshadweep,lakshadweep,64473,33123,31350,52553,81.51164053169543,946.4722398333483,0.8151164053169544,0.005829307166594877
kasaragod,kerala,1307375,628613,678762,1037492,79.35687924275744,1079.7772238245154,0.7935687924275744,0.118205922741721
kannur,kerala,2523003,1181446,1341557,2138434,84.75748938863728,1135.5212172202537,0.8475748938863729,0.22811656769873243
wayanad,kerala,817420,401684,415736,645585,78.97837097208289,1034.9827227372762,0.7897837097208289,0.07390678678079173
kozhikode,kerala,3086293,1470942,1615351,2615443,84.74383345975252,1098.1745031415242,0.8474383345975253,0.27904626592700205
